No,Plat Nomor,Tipe Kendaraan,Tahun,Kondisi,Total KM,Konsumsi BBM (KM/L),Last Maintenance,Maintenance Type,Jam Operasional (h/bulan),Keterangan
1,B 1234 ABC,Truck,2020,Good,250000,8.5,2024-01-15,Filter replacement,180,Regular use
2,B 5678 DEF,Truck,2019,Fair,350000,6.2,2024-01-20,Oil change,200,High mileage concern
3,B 9012 GHI,Van,2021,Excellent,180000,12.1,2023-12-10,Full service,150,New vehicle
4,B 3456 JKL,Truck,2018,Poor,420000,5.1,2024-01-10,Engine repair,220,High fuel consumption
5,B 7890 MNO,Van,2020,Good,290000,11.2,2024-01-18,Tire replacement,170,Well maintained
6,B 2345 PQR,Truck,2017,Fair,480000,4.8,2023-12-28,Transmission service,240,Urgent maintenance needed
7,B 6789 STU,Van,2022,Excellent,120000,13.5,2024-01-12,Routine check,140,New condition
8,B 0123 VWX,Truck,2019,Good,380000,7.2,2024-01-22,Brake service,190,Recently serviced
9,B 4567 YZA,Van,2021,Good,200000,11.8,2024-01-08,Filter replacement,160,Good condition
10,B 8901 BCD,Truck,2020,Fair,310000,6.9,2024-01-25,Oil change,195,Moderate maintenance needed
11,B 2345 EFG,Van,2023,Excellent,45000,14.2,2024-01-20,Routine check,80,Brand new
12,B 6789 HIJ,Truck,2018,Poor,450000,5.3,2024-01-05,Major service,230,Due for overhaul
13,B 0123 KLM,Van,2020,Good,275000,10.9,2024-01-18,Tire check,175,Regular maintenance
14,B 4567 NOP,Truck,2021,Excellent,220000,9.8,2024-01-22,Filter replacement,165,Well maintained
15,B 8901 QRS,Van,2019,Fair,330000,10.1,2023-12-30,Oil change,185,Aging fleet
